1;2;JohnDoe;$2a$11$LZiBt3weubQ.QNE.AKZkxOJ6xs9RbLnJLAHdUSP4wkmOE9yJvjMXG;john.doe@example.com
2;2;Alice_99;$2a$11$ifi7ghkKWO6EKSYGucgX9uCz0EUNIv/2hkwotawaqPTlZR/uxfZ8a;alice99@mail.ru
3;3;BobSmith;$2a$11$SQYD8F9kotUbduzAz2SfJeSzbhpil1N1A12M4HVj0RNKNExSELUeu;bob.smith@company.org
4;3;Kate_W;$2a$11$2xC76MW.KMxcY3TboP.zMeSdUOYVnQpCfrFzv0a6pAGmH8UEBotKu;kate_w@yandex.ru
5;4;Mike2024;$2a$11$ch4xv65pLKL4H4zEr3j89.D8V22vU4OqRi5SxtTnuBHP.a2buPbCS;mike.2024@gmail.com
6;2;User_One;$2a$11$ASligW1afw0KTm3ofPi7iePDYZX4K5qD8AnnL6BEtqiGTCXJIN7ES;user.one@outlook.com
7;2;TestUser;$2a$11$sbsCv1r469K4hBD4UUz9RuNvfyTPx11o.jbq3DNZGtyAbsMN6nNSm;test_user@domain.net
8;4;AnnaB;$2a$11$6kGFCpcRVVEwhE/fbvM3KOaM/XRy.8lLumdLcQooJyD/ALUNLU.Nu;anna.b@inbox.ru
9;1;DevGuy;$2a$11$B93KaYAFYRgcjLsbOhGEyO2xmhhklmp975ekd/iiyGq2k1.PuyDiK;dev.guy@github.io
10;1;Chris_P;$2a$11$q9SDZl2CN.EVVDIfC.TSHu8qOAg1XgiM.A0SoglvcBCcjPdo6R/1O;chris.p@proton.me
11;3;asd;$2a$11$EX9I1BNTwIZYg7aecXwx8OkUjvlqkDgYTRFE70tWj73doe73V4JGW;asd@asd.com
12;4;qwe;$2a$11$kXfQJNU2AN1A4bdHU4YEa.dtXsc6o79EO95QyvoDNH7LS/vTkEncW;qwe@qwe.com
